pctcuota_inicial__c,Presupuesto_inmueble_a_comprar__c,de_ingresos_sobre_el_inmueble__c,picklist_ciudad__c,Calidad_de_lead__c
30.77,195000000.0,9.26,1,1
27.35,340000000.0,5.26,1,1
30.61,490000000.0,10.29,1,1
15.0,200000000.0,5.88,1,0
30.0,195000000.0,7.33,1,1
17.65,170000000.0,7.36,1,1
0.0,200000000.0,2.02,1,-1
26.67,450000000.0,3.94,1,1
18.71,695000000.0,3.36,1,-1
266.67,15.0,-4.0,1,-1
37.5,400000000.0,12.0,1,1
4405.569988670977,248711054.43550834,-30.0,1,-1
5.36,280000000.0,2.45,1,-1
1.88,160000000.0,1.59,1,-1
5.0,100000000.0,1.26,0,-1
0.0,270000000.0,4.63,1,-1
22.22,180000000.0,8.57,1,1
6.67,150000000.0,3.57,1,-1
22.22,180000000.0,8.57,1,1
0.0,300000000.0,2.0,1,-1
7.5,200000000.0,1.68,1,-1
15.0,100000000.0,4.71,1,0
23.08,195000000.0,10.0,1,1
8.0,250000000.0,4.78,1,-1
1.15,260000000.0,2.92,1,-1
20.0,400000000.0,5.0,1,1
2.56,195000000.0,1.37,1,-1
21.88,160000000.0,4.0,1,1
11.43,350000000.0,2.9,1,-1
4.44,450.0,-0.18739872287394121,1,-1
15.0,600000000.0,5.88,1,-1
23.13,160000000.0,3.41,0,-1
1.76,170000000.0,1.56,1,-1
